symbol,timestamp,open,high,low,close,volume
BTC/USD,2025-09-13 17:33:00+00:00,115585.2855,115585.2855,115585.2855,115585.2855,0.0
BTC/USD,2025-09-13 17:34:00+00:00,115609.0095,115609.0095,115609.0095,115609.0095,0.0
BTC/USD,2025-09-13 17:37:00+00:00,115674.85,115674.85,115595.2685,115601.37,0.005678526
BTC/USD,2025-09-13 17:46:00+00:00,115576.845,115576.845,115576.845,115576.845,0.0
BTC/USD,2025-09-13 17:47:00+00:00,115662.215,115662.215,115662.215,115662.215,0.0
BTC/USD,2025-09-13 17:48:00+00:00,115614.767,115638.189,115531.324,115638.189,0.04951164
BTC/USD,2025-09-13 17:50:00+00:00,115683.678,115683.678,115638.189,115638.4455,0.004173822
BTC/USD,2025-09-13 17:54:00+00:00,115649.4725,115649.4725,115649.4725,115649.4725,0.0
BTC/USD,2025-09-13 17:56:00+00:00,115657.4235,115657.4235,115630.669,115630.669,0.0
BTC/USD,2025-09-13 17:58:00+00:00,115664.83,115664.83,115611.803,115611.803,0.0
BTC/USD,2025-09-13 18:00:00+00:00,115658.405,115658.405,115618.375,115618.375,0.0
BTC/USD,2025-09-13 18:01:00+00:00,115579.305,115579.305,115579.305,115579.305,0.0
BTC/USD,2025-09-13 18:06:00+00:00,115521.0315,115521.0315,115521.0315,115521.0315,0.0
BTC/USD,2025-09-13 18:09:00+00:00,115587.1035,115587.1035,115587.1035,115587.1035,0.0
BTC/USD,2025-09-13 18:14:00+00:00,115638.2,115638.2,115638.2,115638.2,0.0
BTC/USD,2025-09-13 18:15:00+00:00,115645.28,115645.28,115645.28,115645.28,0.0
BTC/USD,2025-09-13 18:17:00+00:00,115599.9015,115599.9015,115599.9015,115599.9015,0.0
BTC/USD,2025-09-13 18:18:00+00:00,115586.422,115586.422,115586.422,115586.422,0.0
BTC/USD,2025-09-13 18:19:00+00:00,115621.4765,115621.4765,115621.4765,115621.4765,0.0
BTC/USD,2025-09-13 18:20:00+00:00,115603.015,115603.68,115602.2325,115603.68,0.0
BTC/USD,2025-09-13 18:23:00+00:00,115626.9565,115626.9565,115626.9565,115626.9565,0.0
BTC/USD,2025-09-13 18:25:00+00:00,115631.9175,115631.9175,115631.9175,115631.9175,0.0
BTC/USD,2025-09-13 18:26:00+00:00,115623.38,115623.38,115623.38,115623.38,0.0
BTC/USD,2025-09-13 18:27:00+00:00,115710.785,115710.785,115710.785,115710.785,0.0
BTC/USD,2025-09-13 18:28:00+00:00,115740.4315,115740.4315,115740.4315,115740.4315,0.0
BTC/USD,2025-09-13 18:29:00+00:00,115706.167,115727.696,115706.167,115720.618,0.0
BTC/USD,2025-09-13 18:30:00+00:00,115688.065,115688.065,115688.065,115688.065,0.0
