symbol,timestamp,open,high,low,close,volume
NVDA,2025-09-26 16:56:00+00:00,177.32,177.34,177.24,177.29,3294.0
NVDA,2025-09-26 16:57:00+00:00,177.25,177.39,177.22,177.37,4841.0
NVDA,2025-09-26 16:58:00+00:00,177.365,177.38,177.355,177.355,1639.0
NVDA,2025-09-26 16:59:00+00:00,177.385,177.42,177.3,177.345,3443.0
NVDA,2025-09-26 17:00:00+00:00,177.335,177.39,177.335,177.38,1500.0
NVDA,2025-09-26 17:01:00+00:00,177.35,177.4,177.33,177.37,2892.0
NVDA,2025-09-26 17:02:00+00:00,177.38,177.38,177.31,177.365,2517.0
NVDA,2025-09-26 17:03:00+00:00,177.38,177.38,177.25,177.27,2119.0
NVDA,2025-09-26 17:04:00+00:00,177.27,177.28,177.18,177.28,3081.0
NVDA,2025-09-26 17:05:00+00:00,177.22,177.24,177.2,177.21,4364.0
NVDA,2025-09-26 17:06:00+00:00,177.19,177.23,176.99,176.99,5599.0
NVDA,2025-09-26 17:07:00+00:00,176.995,177.02,176.95,177.02,4681.0
NVDA,2025-09-26 17:08:00+00:00,177.045,177.23,177.045,177.225,4266.0
NVDA,2025-09-26 17:09:00+00:00,177.27,177.33,177.265,177.265,1133.0
NVDA,2025-09-26 17:10:00+00:00,177.34,177.455,177.315,177.395,8713.0
NVDA,2025-09-26 17:11:00+00:00,177.39,177.45,177.39,177.45,898.0
NVDA,2025-09-26 17:12:00+00:00,177.49,177.535,177.455,177.53,2933.0
NVDA,2025-09-26 17:13:00+00:00,177.54,177.56,177.465,177.47,2144.0
NVDA,2025-09-26 17:14:00+00:00,177.42,177.42,177.35,177.35,1336.0
NVDA,2025-09-26 17:15:00+00:00,177.345,177.345,177.16,177.21,6240.0
NVDA,2025-09-26 17:16:00+00:00,177.175,177.28,177.16,177.245,2227.0
NVDA,2025-09-26 17:17:00+00:00,177.29,177.4,177.27,177.36,3480.0
NVDA,2025-09-26 17:18:00+00:00,177.37,177.37,177.205,177.23,2614.0
NVDA,2025-09-26 17:19:00+00:00,177.21,177.24,177.15,177.17,1770.0
NVDA,2025-09-26 17:20:00+00:00,177.15,177.16,177.07,177.16,3894.0
NVDA,2025-09-26 17:21:00+00:00,177.165,177.19,177.135,177.17,1905.0
NVDA,2025-09-26 17:22:00+00:00,177.16,177.25,177.16,177.16,1389.0
NVDA,2025-09-26 17:23:00+00:00,177.155,177.155,177.1,177.12,1142.0
NVDA,2025-09-26 17:24:00+00:00,177.1,177.16,177.09,177.16,3388.0
NVDA,2025-09-26 17:25:00+00:00,177.19,177.21,177.09,177.09,1910.0
NVDA,2025-09-26 17:26:00+00:00,177.09,177.23,177.09,177.23,2289.0
NVDA,2025-09-26 17:27:00+00:00,177.22,177.265,177.215,177.265,4799.0
NVDA,2025-09-26 17:28:00+00:00,177.245,177.285,177.135,177.135,1896.0
NVDA,2025-09-26 17:29:00+00:00,177.14,177.15,177.115,177.14,2122.0
NVDA,2025-09-26 17:30:00+00:00,177.14,177.16,177.12,177.15,2070.0
NVDA,2025-09-26 17:31:00+00:00,177.14,177.17,177.1,177.17,2174.0
NVDA,2025-09-26 17:32:00+00:00,177.165,177.235,177.125,177.235,2078.0
NVDA,2025-09-26 17:33:00+00:00,177.3,177.34,177.3,177.3,1649.0
NVDA,2025-09-26 17:34:00+00:00,177.31,177.31,177.25,177.255,1316.0
NVDA,2025-09-26 17:35:00+00:00,177.27,177.485,177.255,177.485,5402.0
NVDA,2025-09-26 17:36:00+00:00,177.49,177.55,177.44,177.47,6543.0
NVDA,2025-09-26 17:37:00+00:00,177.415,177.425,177.34,177.38,2566.0
NVDA,2025-09-26 17:38:00+00:00,177.395,177.41,177.23,177.255,1702.0
NVDA,2025-09-26 17:39:00+00:00,177.26,177.27,177.185,177.22,6876.0
NVDA,2025-09-26 17:40:00+00:00,177.24,177.26,177.175,177.175,2250.0
NVDA,2025-09-26 17:41:00+00:00,177.155,177.16,177.13,177.145,3558.0
NVDA,2025-09-26 17:42:00+00:00,177.16,177.185,177.15,177.155,884.0
NVDA,2025-09-26 17:43:00+00:00,177.19,177.3,177.165,177.295,965.0
NVDA,2025-09-26 17:44:00+00:00,177.255,177.275,177.255,177.27,900.0
NVDA,2025-09-26 17:45:00+00:00,177.265,177.265,177.19,177.195,3549.0
NVDA,2025-09-26 17:46:00+00:00,177.125,177.14,177.12,177.12,1499.0
NVDA,2025-09-26 17:47:00+00:00,177.12,177.15,177.115,177.13,1881.0
NVDA,2025-09-26 17:48:00+00:00,177.125,177.28,177.125,177.28,1990.0
NVDA,2025-09-26 17:49:00+00:00,177.28,177.295,177.23,177.295,573.0
NVDA,2025-09-26 17:50:00+00:00,177.235,177.3,177.235,177.285,1241.0
NVDA,2025-09-26 17:51:00+00:00,177.245,177.3,177.22,177.22,3293.0
NVDA,2025-09-26 17:52:00+00:00,177.28,177.28,177.19,177.19,813.0
NVDA,2025-09-26 17:53:00+00:00,177.19,177.21,177.12,177.12,1552.0
NVDA,2025-09-26 17:54:00+00:00,177.165,177.165,177.075,177.075,1133.0
